01_prenom
abraham
abram
ace
achan
achille
achilles
achim
adair
adalberto
adalia
édém
adam
adamo
adén
adéo
addison
adelmar
aden
adino
aditya
adlai
adolf
adolfo
adolph
adolphe
adolphus
adonijah
adonis
adorjén
adrastos
adriaan
adrién
adrian
adriano
adrien
élfwine
élred
aeneas
aengus
aeolus
ésc
aeson
ééelbert
ééelfrid
ééelmér
ééelred
ééelstan
afanasi
bennie
benno
benny
benoit
benson
bent
bentley
bento
benton
benvenuto
beowulf
beppe
ber
berach
bernard
bernardino
bernardo
bernét
bernat
bernd
bernhard
bernie
bernt
berry
bert
bertalan
berthold
bertie
berték
bertoldo
bertram
bertrand
bertrando
bethuel
bettino
bevis
bhaltair
bharat
bhaskar
bhétair
biaggio
biagino
biagio
bijay
bijoy
bile
bill
billie
billy
binyamin
birger
bjarne
bjoern
bjérn
bjorne
blaine
blair
blaise
blake
blaze
blazej
blythe
bo
boaz
bob
bobby
bogdan
bogumil
boguslaw
bohdan
bohumir
bohuslav
boldizsér
bolek
boleslav
boleslaw
bolivar
bonaventure
boniface
bonifacio
bonifaz
booker
boris
borislav
borya
boyce
boyd
bozidar
bozydar
brack
brad
braden
bradford
bradley
brady
braeden
brahma
braiden
braidy
bram
bran
brand
branden
brandon
brandt
branimir
branko
brannon
brant
bras
bratumil
braxton
brayden
breandén
brendan
brenden
brendon
brennan
brennus
brent
bret
brett
brian
briar
brice
bridger
brigham
brin
briscoe
bristol
britton
brock
brodie
brody
brogan
bronislav
bronislaw
bronte
brook
brooks
bruce
bruno
bryan
bryant
bryce
bryson
buck
bud
buddy
burkhard
burt
burton
buster
buz
byrne
byron
bysshe
cade
caden
cadeyrn
caedmon
caelestis
caetano
cahal
cahir
cai
cailean
cain
cainan
cairbre
cairo
cal
calbhach
caleb
caligula
efraén
efstathios
egbert
egidio
egil
egon
ehud
éibhear
éibhir
eideard
eilert
éimhén
einar
einré
eiran
eirik
eitan
ekewaka
ekkehardt
eladio
elario
elbert
elder
eldon
eldred
eleazar
eleftherios
elek
eleuterio
eli
elia
elian
elias
eliezer
eligio
elihu
elijah
eliot
eliott
eliphelet
eliseo
elisha
eliud
eliyahu
elkan
elkanah
ellar
ellery
elliot
elliott
ellis
elmer
elmo
elnathan
eloi
eloy
elpidio
elpidius
elric
elrond
elroy
elsdon
elton
eluf
elvin
elvis
elwin
elwood
elwyn
ely
eménuel
emanuel
emanuele
emeric
emerson
emery
emidio
emil
émile
emilian
emiliano
émilien
emilio
emmanouil
emmanuel
emmerich
emmerson
emmet
emmett
emory
endre
enéas
engel
engelbert
ennio
enoch
enok
enosh
enric
enrico
enrique
enzo
eoghan
eoin
ephraim
epifanio
eran
erasmus
erastus
ercole
erdmann
erebus
erez
erhard
eric
erich
erick
erik
erkki
erle
erlend
ermanno
ermenegilde
ermenegildo
ermolai
ern
ernest
ernesto
ernie
erné
ernst
eros
errol
erskine
ervin
ervins
erwan
erwin
esa
esaias
esau
esdras
esmail
esmé
esmond
esmund
espiridion
estachio
estavan
estéban
estevéo
estéve
esteve
ethan
ethelbert
ethelred
étienne
ettore
etzel
euan
eugen
eugéne
eugene
eugénio
eugenio
eusebio
eustace
eustache
eustaquio
eustathios
eutropio
evander
evander
evangelos
évariste
evaristo
everard
everett
everette
everitt
evert
evgeni
evgeny
evrard
evron
evstathios
ewald
ewan
ewart
ewen
ezar
ezra
eztebe
faas
fébién
fabian
fabiano
fabien
fabio
fabé
fabrice
fabricio
fabrizio
fachtna
faddei
féelén
faivish
falk
fane
faolén
faramond
fareed
farley
faron
farquhar
farran
farrell
fastred
faunus
fausto
fayvel
fearchar
feardorcha
fearghal
fearghas
fechén
fedele
federico
federigo
fedot
fedya
feichén
feidhlim
feidhlimidh
feivel
felice
feliciano
felicien
felim
felipe
feliu
félix
felix
fenton
feodor
feofilakt
ferapont
ferdie
ferdinand
ferdinando
ferdy
ferenc
fergal
fergie
fergus
feri
ferko
fermin
fernand
fernando
fernéo
ferran
ferrer
ferruccio
fester
fiachna
fiachra
fiacre
fidel
fido
fife
filander
filat
filbert
filep
filib
filibert
filiberto
filip
filipe
filippo
fillin
finbar
findlay
fingal
fingall
finlay
finley
finn
finnbar
osbourne
oscar
osheen
osip
osiris
éskar
oskar
oskari
ottavio
otté
otto
ottokar
ouranos
ovadia
ove
oved
ovid
ovidiu
owen
oz
oz
ozzie
ozzy
paavali
paavo
pablo
pace
pacey
pachjo
paco
paddy
paden
padma
pédraig
pédraig
paise
pél
pél
péll
pallu
palmer
palmiro
panagiotis
panayiotis
pancho
pancras
pancrazio
panfilo
pankrati
pankraz
pantaleone
panther
pantheras
paolino
paolo
papak
papillion
paride
paris
parker
parris
parsifal
parth
parthalan
pascal
paschal
pasco
pascual
pasha
pasquale
pasqualino
pat
patrice
patricio
patrick
patrik
patrizio
patroclus
patryk
patton
patxi
patya
pau
paul
pauli
paulino
paulo
pavao
pavel
pavlos
pawel
payton
peadar
pearce
peder
pedro
peers
pegasus
pekka
pellegrino
peni
pentti
pepe
pepito
per
perce
perceval
percival
percy
pere
peregrine
pero
perry
perseus
pertti
perttu
petar
pete
péter
peter
petera
peterkin
peti
petr
petras
petre
petri
petrica
petros
petru
petteri
pétur
petya
peyton
pharamond
phelan
phelim
phil
philander
philbert
philemon
philibert
philip
philipp
philippe
phillip
philo
phirun
phobos
phoebus
photios
phrixus
piaras
pierce
piero
pierre
pierrick
piers
piet
